pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
supervised,20,0.75,12,0.0448874515986877,0.0007589001004044,0.9772676853142932,0.8714151938136233,0.340510622091787,0.2767427048774365,-15.166666666666666,-15.166666666666666,0.0007589204962492,-0.446514590245127
supervised,20,0.8,11,0.0318239111092055,1.6261560227009093e-05,0.9998409488536956,0.9200270887249928,0.3199406570298169,0.2857142857142857,-0.2727272727272727,-0.2727272727272727,1.626197578359091e-05,-0.4285714285714285
supervised,20,0.85,9,0.0218131552616399,0.0,1.0,0.9436153521205785,0.3236137485434844,,0.0,0.0,0.0,
supervised,20,0.9,6,0.011935809275075,0.0,1.0,0.9721413022583744,0.3285761069197147,,0.0,0.0,0.0,
supervised,20,0.95,1,0.00132880177855,0.0,1.0,1.0,0.3333333333333333,,0.0,0.0,0.0,
supervised,50,0.33,15,1.0,0.8526230036733798,0.14737699632662,0.4416133999559026,0.4179687985365532,0.419072082198609,-4834.666666666667,-4834.666666666667,0.8526472819933821,-0.1618558356027818
supervised,50,0.35,15,0.991528595578163,0.8469813809788905,0.1457987612895568,0.44239283865377,0.4182627369049588,0.419688015647379,-4753.866666666667,-4753.866666666667,0.8470055064432936,-0.1606239687052419
supervised,50,0.4,15,0.8821403383959697,0.7639635801710085,0.1319109503063711,0.4522124239729867,0.4200091949686679,0.4283862391424886,-3755.866666666667,-3755.866666666667,0.7639854234852127,-0.1432275217150228
supervised,50,0.45,15,0.7021996363411201,0.6091060411679986,0.1279778793906174,0.4677880262507609,0.4206425872362315,0.4411541628043114,-2507.5333333333333,-2507.5333333333333,0.609123478604342,-0.1176916743913771
supervised,50,0.5,15,0.4954743877528062,0.4204148523191726,0.1485451786986527,0.4917090184319895,0.4281270237529216,0.4601213553656652,-1327.8,-1327.8,0.4204268837815091,-0.0797572892686694
supervised,50,0.55,15,0.3130732962284608,0.2525436097415836,0.1898493539493702,0.5182315854027982,0.4380651105224578,0.4744683156251773,-644.2,-644.2,0.2525508241876094,-0.0510633687496454
supervised,50,0.6,15,0.1721887194100294,0.1238349891800231,0.2569932349342484,0.5558135989644898,0.4571967887568849,0.4875319490854242,-245.53333333333333,-245.53333333333333,0.1238384898668723,-0.0249361018291517
supervised,50,0.65,15,0.0857409908178541,0.0482826378506789,0.3706830855326772,0.6073867301708664,0.4600342291412624,0.4989536235928357,-91.66666666666669,-91.66666666666669,0.0482839722432095,-0.0020927528143283
supervised,50,0.7,15,0.0439196278291764,0.0152445642263818,0.5714839163515336,0.6863532455490723,0.4187491083687932,0.4517787000448019,-26.866666666666667,-26.866666666666667,0.0152449750116205,-0.0964425999103959
supervised,50,0.75,15,0.0261179417173501,0.0047972992037907,0.7579526086793646,0.8100269173163842,0.3702029596172193,0.5195692904721971,8.2,8.2,0.004797425264228,0.0391385809443943
supervised,50,0.8,13,0.0194099172899284,0.0024077386558903,0.8389058884071503,0.8493202342177658,0.3232372176822735,0.4141082047113144,6.384615384615385,6.384615384615385,0.0024078015258513,-0.1717835905773713
supervised,50,0.85,10,0.012526910361876,0.0011855750690499,0.8,0.8671047571863306,0.3073379276658346,0.5496936491104041,5.5,5.5,0.0011856059619042,0.0993872982208083
supervised,50,0.9,6,0.0042608877023885,7.382701895181666e-05,0.8333333333333334,0.8949311976842828,0.3131878986587876,0.6470588235294118,0.8333333333333334,0.8333333333333334,7.382894268266667e-05,0.2941176470588235
